question,answer
What is the Dairy Entrepreneurship Development Scheme?,The Dairy Entrepreneurship Development Scheme is a scheme launched by the Government of India to promote entrepreneurship in the dairy sector and provide financial assistance to dairy farmers.
What are the major crops grown in Kerala?,The major crops grown in Kerala are paddy coconut rubber tea coffee pepper cardamom ginger turmeric banana and pineapple.
What is the average size of a farm in Kerala?,The average size of a farm in Kerala is around 0.54 hectares.
What are the major irrigation systems used in Kerala?,The major irrigation systems used in Kerala are wells tube wells bore wells canals and check dams.
What is the role of the Agricultural Department in Kerala?,The Agricultural Department in Kerala is responsible for the implementation of various schemes and programs related to agriculture horticulture and animal husbandry in the state.
What are the major challenges faced by farmers in Kerala?,The major challenges faced by farmers in Kerala are high input costs low productivity land fragmentation lack of irrigation facilities and natural disasters such as floods and droughts.
What are the major agricultural policies introduced by the Kerala Government?,The major agricultural policies introduced by the Kerala Government include the Kerala Agriculture Development Policy the Organic Farming Policy and the Climate-Resilient Agriculture Policy.
What is the role of Krishi Bhavans in Kerala?,Krishi Bhavans in Kerala serve as a one-stop-shop for farmers providing them with various services such as soil testing seed distribution technical advice and market information.
What is the importance of organic farming in Kerala?,Organic farming in Kerala is important because it promotes sustainable agriculture conserves biodiversity and provides farmers with higher returns on investment.
What are the major organic farming practices followed in Kerala?,The major organic farming practices followed in Kerala are crop rotation green manuring composting and vermicomposting.
What are the major agricultural schemes implemented by the Kerala Government for the benefit of farmers?,The major agricultural schemes implemented by the Kerala Government for the benefit of farmers include the Krishi Bhavan Scheme the Soil Health Card Scheme and the Kisan Credit Card Scheme.
What are the major crops that are affected by pests and diseases in Kerala?,The major crops that are affected by pests and diseases in Kerala are paddy coconut rubber and banana.
What are the major pest and disease management practices followed in Kerala?,The major pest and disease management practices followed in Kerala are integrated pest management biological control and the use of biopesticides and biofertilizers.
What are the major factors that contribute to low productivity in agriculture in Kerala?,The major factors that contribute to low productivity in agriculture in Kerala are soil degradation lack of irrigation facilities low availability of quality seeds and insufficient technical knowledge among farmers.
What is the role of the Kerala Agricultural University in promoting agriculture in the state?,The Kerala Agricultural University plays a key role in promoting agriculture in the state by conducting research imparting education and providing technical advice to farmers.
What are the major challenges faced by the coconut industry in Kerala?,The major challenges faced by the coconut industry in Kerala are low productivity high production costs and competition from other coconut-producing countries.
What are the major policies implemented by the Kerala Government to promote the coconut industry?,The major policies implemented by the Kerala Government to promote the coconut industry include the Coconut Development Board and the Coconut Palm Insurance Scheme.
What are the major challenges faced by the rubber industry in Kerala?,The major challenges faced by the rubber industry in Kerala are low productivity high production costs and competition from other rubber-producing countries.
What are the major policies implemented by the Kerala Government to promote the rubber industry?,The major policies implemented by the Kerala Government to promote the rubber industry include the Rubber Board and the Rubber Production Incentive
What are the major crops grown in Kerala?,The major crops grown in Kerala are rice coconut rubber pepper tea coffee cardamom ginger and turmeric.
What is the maximum subsidy amount available under the Kerala State Agricultural Marketing Board (KSAMB) scheme for setting up cold storage facilities?,The maximum subsidy amount available under the KSAMB scheme for setting up cold storage facilities is Rs. 10 lakhs.
What is the recommended spacing between two coconut trees?,The recommended spacing between two coconut trees is 7.5 meters.
What is the maximum amount of loan available under the Kerala State Agricultural Workers Housing Scheme (KSAWHS)?,The maximum amount of loan available under the KSAWHS is Rs. 2 lakhs.
What are the major pests that affect coconut cultivation in Kerala?,The major pests that affect coconut cultivation in Kerala are rhinoceros beetle red palm weevil and coconut mite.
What is the maximum subsidy available under the Pradhan Mantri Fasal Bima Yojana (PMFBY) for horticultural crops?,The maximum subsidy available under the PMFBY for horticultural crops is 50% of the premium.
What is the recommended spacing between two rubber trees?,The recommended spacing between two rubber trees is 6 meters.
What is the maximum subsidy amount available under the Rashtriya Krishi Vikas Yojana (RKVY) for the establishment of rural godowns?,The maximum subsidy amount available under the RKVY for the establishment of rural godowns is Rs. 30 lakhs.
What are the major diseases that affect cardamom cultivation in Kerala?,The major diseases that affect cardamom cultivation in Kerala are leaf blotch capsule rot and thrips.
What is the maximum subsidy available under the National Mission on Agricultural Extension and Technology (NMAET) for the establishment of farmer producer organizations (FPOs)?,The maximum subsidy available under the NMAET for the establishment of FPOs is 90% of the total project cost.
What is the recommended spacing between two ginger plants?,The recommended spacing between two ginger plants is 25 centimeters.
What is the maximum subsidy amount available under the National Agriculture Development Scheme (NADS) for the establishment of organic farming units?,The maximum subsidy amount available under the NADS for the establishment of organic farming units is Rs. 10 lakhs.
What are the major pests that affect rubber cultivation in Kerala?,The major pests that affect rubber cultivation in Kerala are rubber scale insect mealybug and red spider mite.
What is the maximum subsidy available under the Pradhan Mantri Krishi Sinchai Yojana (PMKSY) for the installation of micro-irrigation systems?,The maximum subsidy available under the PMKSY for the installation of micro-irrigation systems is 55% of the project cost.
What is the recommended spacing between two turmeric plants?,The recommended spacing between two turmeric plants is 30 centimeters.
What is the maximum subsidy amount available under the Kerala State Rural Livelihoods Mission (KSRLM) for the establishment of farm-based micro-enterprises?,The maximum subsidy amount available under the KSRLM for the establishment of farm-based micro-enterprises is Rs. 3 lakhs.
What are the major diseases that affect rubber cultivation in Kerala?,The major diseases that affect rubber cultivation in Kerala are leaf spot powdery mildew and bud rot.
What are some common diseases that affect coconut cultivation in Kerala?,Some common diseases that affect coconut cultivation in Kerala include root wilt disease bud rot disease and leaf rot disease.
How can farmers prevent the spread of leaf spot disease in tomato plants?,Farmers can prevent the spread of leaf spot disease in tomato plants by practicing good sanitation using disease-resistant varieties and avoiding overwatering.
What are some common pests that affect rice cultivation in Kerala?,Some common pests that affect rice cultivation in Kerala include rice stem borers rice hispa and rice leaf folder.
What are some natural methods of pest control that can be used in organic farming?,Some natural methods of pest control that can be used in organic farming include crop rotation companion planting and the use of natural predators such as ladybugs and praying mantises.
What is the government subsidy available for coconut cultivation in Kerala?,The government of Kerala provides a subsidy of up to 50% of the total cost of setting up a coconut farm to eligible farmers.
What is the Pradhan Mantri Fasal Bima Yojana and how can farmers enroll in it?,The Pradhan Mantri Fasal Bima Yojana is a crop insurance scheme launched by the government of India to protect farmers against crop losses due to natural calamities. Farmers can enroll in the scheme through their local agricultural insurance company.
What are the benefits of using organic fertilizers in agriculture?,Organic fertilizers are beneficial for agriculture as they improve soil health enhance plant growth and reduce the risk of soil pollution.
What are the different types of irrigation systems used in agriculture?,The different types of irrigation systems used in agriculture include drip irrigation sprinkler irrigation flood irrigation and subsurface irrigation.
What are the best practices for sustainable agriculture?,Best practices for sustainable agriculture include crop rotation conservation tillage integrated pest management and the use of cover crops.
A fungal disease affecting taproot in rubber trees,Spray Indofil M 4 gm mixed with one liter of water to control fungal diseases affecting taproot on tap trees.
Leaf spot disease in rubber seedlings,To control leaf spot disease in rubber seedlings spray copper oxychloride fungicide 4 grams per liter of water. 
Tuber attack on rice,To control the attack of bollworm in paddy apply 50 kg of sawdust to 1 liter of neem oil per acre in the field.
The fruit does not stick to the flour,Pollination is necessary for the fruit to set. Flour is pollinated by flies ants and beetles. 90 to 99 percent of the fruit will drop within a month of fruiting. Competition between developing pods and a lack of plant hormones can lead to increased fruit drop. Hormonal application is a way to reduce this and increase yield. Two to three milliliters of plant hormone naphthalene acetic acid mixed with five liters of water should be sprayed on the bunches two weeks after fruiting. 'Planofix 4.5 SL' in stores It is available as
Black spots on curry leaves. What is the reason for this? How to solve this problem?,This type of change is caused by the attack of Mandari on curry leaves. Do not use chemicals in curry leaves as they are used in curries as well. Use verticillium verticillarum instead. Thirty grams of Verticillium should be dissolved in one liter of water and used as proof. Spray in the evening as it falls on both sides of the leaves. 
Banana worm symptoms The worms sit on the leaf and eat and destroy the whole leaf,Spray at the rate of Ecalax 3 ml in 1 liter of water/ Takumi 5 g in 10 liters of water
Chili leaf spot disease,Against leaf spot spray In chillies wilting starts on the upper leaves and gradually spreads downwardsRemove and destroy the infested leaves and keep the field clean.After spraying water on the underside of the leaves sprinkle with soapy water. It is good to sprinklethe porridge with water once a week .Provide adequate shade. Spreading reflective paper on the soil at the time of planting will help prevent whitefly attack.
Mandari attack on pea,Plants grown in polyhouses.Spraying the insecticide Nimbicidin did not help .
Yellowing of young leaves of lime,This is similar to the 'greening' disease symptoms caused by a microorganism called phytoplasma Deficiency of the element zinc is also seen.Fertilize well.Mix micronutrients at the rate of 5 grams per liter of water and spray on the leaves
A red stain oozes from the wood of the flour,Apply lime and other fertilizers after testing the soil .
Spots on the lower leaves and rot on the upper leaves of the pepper vine,Pick the pepper. Wet the vines well and mulch. Dilute pepper nutrient mixture at the rate of 5 grams per liter of water and spray on the leaves.
Cocoa has small pods, spots and white powder Spots on the fruit are due to the attack of the tea mosquito.Quinalphos 2 ml. Spray it on young plants at the rate of 1 liter of water.
Attack of stem borer on narakam,Dip a cotton ball in water mixed with kerosene or petrol and place it on the borer infested holes. Chlorpyrifos in granular form can also be used for pest control.
The seed rots in turmeric,Harvest and process as soon as possible Do not save this turmeric for seed. Do not plant ginger turmeric for one year in the area just harvested .
Rooster splits the bottom of the banana ,These symptoms are seen when the amount of element nitrogen is more than required.Carry out soil testAdd 5 grams of nutrient mixture for banana in 1 liter of water.Add 100 grams of lime to each banana in the basin.
Attack of stem borer on narakam,Dip a cotton ball in water mixed with kerosene or petrol and place it on the borer infested holes.Chlorpyrifos in granular form can also be usedfor pest control .
What are the characteristics of Ponni a new type of eggplant,Ponni is a robust spreading species up to 175 cm in height. The leaves are characterized by violet spikes and deeplilac flowers.
Leaf spot disease in rubber seedlings,To control leaf spot disease in rubber seedlings spray copper oxychloride fungicide 4 grams per liter of water. 
Is organic fertilizer available that can be mixed with water,There are many organic fertilizers that can be mixed with water. Many homemade fertilizers can be used in this way.
Polachial disease in Pratyasha rice variety How to solve?,Prepare a solution of 20 grams of Pseudomonas in one liter of water and sprinkle the rice plant in such a way that the diseased areas and other parts fall on the pods.
Eggplant leaves turn gray How to solve?,It is due to the attack of Mandari and Mealy Moota. All the damaged leaves should be removed. Then spray Oberon at the rate of 1ml/litre on the underside of the leaves. This should be repeated when the plant is newly sprouted.
Downy mildew disease in cucumber varieties. How to prevent?,The main symptom is yellow spots on the leaves. Damaged leaves are removed and destroyed. A solution of 20 grams of Pseudodomonas in one liter of water should be sprayed on both sides of the leaf. If the damage reappears spray with 2 grams of Indofil M.45 per liter of water.
How to prevent leaf spotting in Rosa?,It is caused by the combined attack of thrips and aphids. Cut and replace damaged branches. Roll dung over the cut area. Roger 1.5 ml in one liter of diluted water
Strawberries planted in pots do not bloom. The solution to this?,Feeding the branches is essential for strawberry fruiting. For this  replace the strawberry which is now planted in the pot and plant it on the floor.
How to control black rot disease in pea?,Remove diseased leaves. Prepare a mixture of baking soda vegetable oil and soap and spray both sides of the leaves. Dilute 10 grams of barsop in 5 liters of water to prepare the spray mixture.
Soft blight disease in Koval. How to fix this?,Against the soft hairy blight found in the cucumber vegetable after removing and destroying the affected leaves spray Sectin (1ml/litre) or Carcet (2g/litre) or Saf (2g/litre).
Leaf curls in cabbage. How to control?,This may be due to the lack of trace elements. When replanting it in the place add microfood along with other nutrients in such a way that each plant gets 5 grams.
Mandari attack in Arali. How to solve?,After plucking out the damaged branches spray with a solution of Sulfex 2 g diluted in a liter of water.
Black spots are seen on betel leaves. What is the solution?,May be due to attack of pests like tea mosquitoes and whiteflies. To repel insectsprepare 1% strength Bordeaux mixture and spray on both sides of the leaves. This should be done after pinching the leaves.
Sigatoka disease of banana. How to control?,This is yellow sigatoka disease (leaf spot). Cut off the affected lower leaves and put them on fire. Foliar application of 1% strength Bordeaux mixture or Carbendazim at 1 gm/l water.
Virus disease in grapevine. What is the solution?,This is a disease called bud necrosis. Spotting on the leaves browning on the stems discoloration wilting and failure to flower. These are the symptoms. The disease is spread by thrips. Prune and remove infected plants.The young shoots of the flour are dried up. The shoots are cut. Young stems dry up. How to fix this? On the occasion of fresh sprouting of the flour there is a problem of leaf-cutting beetles leaf-boring beetles and leafhoppers. Also new shoots may dry up and die due to fungal disease. Save the new shoots. For this purpose spray 2 ml of Qunalphos mixed with a solution of 4 g of copper oxychloride in one liter of water at the time of powdery mildew
